ν	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada  Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada  Eppendorf	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3836.0	98.230926	98.017311	97.143578	97.755586	97.990959	98.175658	98.441916	99.254357	98.512335	98.211598	98.091362	97.766304
3835.0	98.230989	98.018496	97.158792	97.754995	98.005907	98.177583	98.457266	99.254831	98.512533	98.216722	98.097516	97.769826
3834.0	98.2243	98.015215	97.166087	97.757093	98.015659	98.181969	98.469289	99.254033	98.505813	98.221463	98.099851	97.766686
3833.0	98.216536	98.009799	97.163807	97.760012	98.018267	98.18612	98.473221	99.253623	98.492958	98.227892	98.102728	97.757667
3832.0	98.211452	98.004508	97.154189	97.760709	98.014398	98.188919	98.466599	99.256906	98.476417	98.235864	98.109358	97.747762
3831.0	98.209522	98.000123	97.143182	97.758617	98.006817	98.190455	98.452607	99.264982	98.46095	98.241116	98.118976	97.742209
3830.0	98.209723	97.995285	97.136234	97.755036	97.999577	98.190035	98.43944	99.274174	98.452335	98.238809	98.12707	97.742579
3829.0	98.212059	97.988991	97.135501	97.75215	97.997316	98.187885	98.436073	99.27923	98.453177	98.228235	98.130319	97.74787
3828.0	98.218856	97.98276	97.13998	97.752662	98.003754	98.187201	98.446306	99.27884	98.460874	98.214326	98.130144	97.756613
3827.0	98.230339	97.97923	97.146706	97.758168	98.018066	98.191304	98.463797	99.276132	98.469673	98.203024	98.129746	97.766133
3826.0	98.241114	97.979488	97.15276	97.767591	98.032828	98.197859	98.474093	99.274828	98.475498	98.195194	98.129838	97.772833
3825.0	98.243815	97.981404	97.155525	97.776268	98.038243	98.197197	98.465741	99.275457	98.478891	98.1873	98.127701	97.774178
3824.0	98.235653	97.980416	97.150877	97.7775	98.029967	98.17952	98.440625	99.27492	98.481617	98.178119	98.12037	97.770058
3823.0	98.220271	97.972052	97.135351	97.766886	98.014249	98.146639	98.415579	99.268771	98.482571	98.171465	98.107436	97.762949
3822.0	98.205273	97.958881	97.115462	97.749383	98.003786	98.121524	98.411235	99.257244	98.479017	98.171911	98.094246	97.758643
3821.0	98.196882	97.952711	97.10464	97.738765	98.003824	98.129643	98.431227	99.24974	98.469026	98.179591	98.091215	97.760973
3820.0	98.196134	97.958358	97.106889	97.74115	98.005963	98.163056	98.457236	99.25334	98.457684	98.190059	98.098865	97.765009
3819.0	98.199627	97.966095	97.117614	97.748788	97.999674	98.192988	98.468607	99.261942	98.454668	98.197426	98.104868	97.764624
3818.0	98.202805	97.967569	97.132902	97.75371	97.985642	98.206343	98.460234	99.267075	98.458644	98.199418	98.104306	97.761246
3817.0	98.203819	97.965188	97.149915	97.755804	97.976399	98.21166	98.443971	99.267088	98.46231	98.198999	98.104134	97.760428
3816.0	98.203953	97.968723	97.164004	97.759034	97.982177	98.221885	98.43434	99.265296	98.464645	98.199393	98.111006	97.763921
3815.0	98.206599	97.983232	97.169181	97.763252	97.998321	98.233995	98.434098	99.264615	98.469092	98.200967	98.122228	97.767182
3814.0	98.213886	98.001842	97.164717	97.76397	98.011733	98.235494	98.437854	99.26429	98.478632	98.202494	98.1296	97.766785
3813.0	98.222825	98.015087	97.156816	97.76085	98.01582	98.225543	98.442053	99.263017	98.489565	98.202813	98.130672	97.765368
3812.0	98.227618	98.019855	97.152727	97.758573	98.015057	98.213514	98.446386	99.262462	98.495792	98.201348	98.13026	97.767172
3811.0	98.225228	98.017952	97.155449	97.758671	98.016666	98.203696	98.450223	99.264596	98.499315	98.198655	98.131915	97.772253
3810.0	98.217881	98.012471	97.162508	97.757635	98.020806	98.191704	98.452065	99.268296	98.505288	98.196729	98.134196	97.777028
3809.0	98.210916	98.005216	97.167601	97.752542	98.021339	98.174225	98.452629	99.269638	98.5109	98.19754	98.133717	97.778791
3808.0	98.207539	97.997809	97.166119	97.747792	98.014286	98.161087	98.454406	99.26663	98.506353	98.200283	98.130283	97.779909
3807.0	98.206548	97.994455	97.158621	97.752409	98.003471	98.167831	98.457506	99.263079	98.487721	98.201523	98.128167	97.785354
