ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada No Magnetizada Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri
3785.0	99.667829	98.255489	97.411152	98.039482	98.078531	98.02648	97.140944	97.751626
3784.0	99.665659	98.256364	97.416082	98.044091	98.079243	98.028141	97.151952	97.755427
3783.0	99.656932	98.248722	97.419392	98.039597	98.076964	98.028628	97.160541	97.757888
3782.0	99.644971	98.242274	97.422629	98.029086	98.070148	98.024627	97.162222	97.757472
3781.0	99.638473	98.243932	97.428016	98.017492	98.060093	98.016011	97.157811	97.755979
3780.0	99.645348	98.250847	97.436082	98.009995	98.050078	98.006789	97.152518	97.757258
3779.0	99.663963	98.254102	97.444104	98.009065	98.044832	98.002451	97.149145	97.762216
3778.0	99.681118	98.248737	97.447004	98.011736	98.047895	98.005008	97.14458	97.766029
3777.0	99.68135	98.236688	97.440421	98.012528	98.058439	98.011496	97.134858	97.76234
3776.0	99.65802	98.221765	97.423456	98.009675	98.071413	98.017768	97.1206	97.75041
3775.0	99.617979	98.205815	97.399243	98.006127	98.081194	98.022455	97.106083	97.736496
3774.0	99.576838	98.190347	97.373251	98.005059	98.084785	98.026316	97.095222	97.728021
3773.0	99.548179	98.179268	97.350624	98.005926	98.082516	98.029382	97.088933	97.72729
3772.0	99.536415	98.177544	97.335304	98.005304	98.076583	98.030582	97.08619	97.730316
3771.0	99.539067	98.185524	97.330561	98.002558	98.069317	98.029666	97.087653	97.731402
3770.0	99.552164	98.197809	97.338017	98.0035	98.062565	98.027843	97.096183	97.728829
3769.0	99.571694	98.209512	97.355233	98.013636	98.058291	98.026564	97.111616	97.724917
3768.0	99.592315	98.220113	97.375874	98.028702	98.05838	98.026146	97.12858	97.72196
3767.0	99.607104	98.231093	97.392493	98.038159	98.062369	98.02536	97.141368	97.722661
3766.0	99.61019	98.241535	97.399535	98.034687	98.06755	98.023507	97.14687	97.72899
3765.0	99.601381	98.247018	97.39606	98.019497	98.070556	98.021389	97.144977	97.738505
3764.0	99.586572	98.244261	97.387136	98.000586	98.068748	98.019864	97.138597	97.744903
3763.0	99.57249	98.235509	97.381728	97.987038	98.061223	98.018862	97.132517	97.74477
3762.0	99.563745	98.227423	97.387577	97.984739	98.049131	98.018354	97.131289	97.743253
3761.0	99.564468	98.225531	97.405415	97.994434	98.036428	98.019056	97.138053	97.749932
3760.0	99.575853	98.230866	97.425773	98.011823	98.0276	98.020698	97.153837	97.768593
3759.0	99.590883	98.240199	97.434393	98.028884	98.023294	98.021624	97.174262	97.791508
3758.0	99.598332	98.248353	97.425133	98.038053	98.018496	98.02063	97.190471	97.807767
3757.0	99.594545	98.25168	97.405462	98.037613	98.007948	98.018173	97.195973	97.815318
3756.0	99.583871	98.251578	97.388281	98.033017	97.992659	98.015671	97.190657	97.821407
3755.0	99.569268	98.253928	97.380916	98.032101	97.97838	98.014228	97.17848	97.834765
3754.0	99.550095	98.26251	97.381229	98.037949	97.969303	98.013903	97.164502	97.857241
3753.0	99.530761	98.272336	97.381837	98.046412	97.965218	98.013558	97.154592	97.880336
3752.0	99.523544	98.273216	97.378168	98.052244	97.963151	98.01091	97.155705	97.891193
3751.0	99.532356	98.263992	97.373287	98.058375	97.959666	98.004379	97.170449	97.888446
3750.0	99.544578	98.255997	97.373172	98.07087	97.953778	97.996964	97.190589	97.886434
